N,P,K,Temperature,Humidity,pH,Rainfall,Label,Disease_Prone,Common_Disease(Fungal),Common_Disease(Bacterial),Common_Disease(Viral),Salinity_dS_m,Water_Requirement,Disease_Resistance_Score,Nutrient_Deficiency
42,63,83,26.6,33.8,6.46,214.0,Oat,No,None,Leaf Spot Wilt,None,2.07,581.6,6.9,Potassium
78,31,37,33.8,64.6,6.13,320.9,Wheat,Yes,Botrytis Blight,None,None,2.51,499.9,2.1,Nitrogen
45,42,30,27.2,50.2,7.02,95.7,Mustard,No,Fusarium Rots,None,None,1.95,762.5,3.2,Phosphorus
73,58,52,22.9,51.5,5.89,325.2,Soybean,No,Rust,None,None,1.28,750.3,5.9,None
91,39,14,16.2,44.1,7.09,343.3,Tomato,No,None,None,Potato Virus X,1.69,789.9,5.2,None
93,26,41,22.4,67.8,6.39,148.1,Sunflower,No,None,None,None,2.23,190.5,1.2,Potassium
75,68,34,33.4,73.6,5.84,141.8,Cauliflower,Yes,None,None,None,0.59,447.4,8.5,None
112,33,57,34.8,55.1,6.67,202.6,Bitter Gourd,Yes,Leaf Spot,None,Potato Virus Y,1.99,156.5,9.1,Potassium
102,42,42,29.1,45.9,5.74,71.6,Peas,No,None,None,None,3.14,693.3,4.5,Phosphorus
21,65,66,25.2,74.3,5.82,275.6,Chilly,Yes,Black Spot,None,None,2.16,311.3,5.8,Phosphorus
110,37,37,20.0,45.0,6.54,324.2,Paddy,Yes,None,None,None,3.48,421.7,5.6,Potassium
27,67,83,34.6,40.6,5.97,73.0,Okra,No,None,None,None,3.0,193.6,3.9,Potassium
42,11,39,36.7,51.1,7.45,133.0,Turmeric,Yes,None,Citrus Cankers,None,3.43,759.6,5.5,Phosphorus
37,55,25,21.3,55.1,5.74,213.4,Bitter Gourd,Yes,None,None,None,1.37,710.8,9.0,Phosphorus
97,61,13,26.6,74.1,6.92,166.6,Cotton,No,Sclerotinia Rots,None,None,2.54,359.4,8.2,Phosphorus
102,16,36,31.7,86.0,6.36,210.9,Cabbage,No,Sclerotinia Rots,None,None,0.95,516.3,3.3,None
57,15,77,38.8,40.9,6.18,234.1,Beet,Yes,Leaf Spot,None,None,2.9,500.7,4.7,Phosphorus
80,30,88,27.5,83.5,7.17,335.8,Linseed,Yes,None,Rot,None,3.42,324.3,6.0,Nitrogen
115,47,89,33.9,62.5,5.76,228.3,Potato,No,None,None,Mosaic Virus,3.22,384.2,3.7,None
62,47,10,33.1,86.9,5.91,205.4,Fennel,No,Downy Mildew,None,None,1.86,244.3,4.4,Nitrogen
110,19,50,21.2,79.4,6.61,232.9,Garlic,Yes,None,None,None,2.44,125.8,4.6,None
55,18,39,36.0,41.2,7.35,216.7,Wheat,No,None,Scab,None,1.57,225.3,1.8,Potassium
46,41,72,21.5,80.3,7.17,88.9,Tomato,No,Sclerotinia Rots,None,None,1.15,689.3,6.5,None
48,66,82,18.4,74.4,6.44,224.9,Bitter Gourd,Yes,Anthracnose,None,None,0.94,160.9,6.2,Potassium
47,15,50,21.4,67.9,6.53,140.8,Brinjal,Yes,None,None,None,2.78,138.7,2.1,Potassium
29,41,28,24.1,30.8,6.5,321.3,Okra,No,None,Black Rot,None,2.09,682.6,7.9,None
95,78,22,32.3,44.2,6.62,115.2,Turmeric,Yes,None,None,None,2.05,550.2,1.2,None
111,52,11,22.5,39.9,7.37,281.7,Turmeric,Yes,None,None,Mosaic Virus,3.48,514.9,4.3,Nitrogen
82,11,67,17.6,30.2,6.44,155.3,Okra,Yes,None,None,None,1.69,404.7,5.8,Potassium
40,11,75,19.1,48.9,5.88,201.2,Maize,No,Rust,Leaf Spot Wilt,None,2.19,265.9,2.8,None
31,46,20,20.2,38.6,6.46,246.2,Onion,Yes,Sclerotium Rots,None,None,1.98,375.8,3.6,Nitrogen
30,29,31,16.3,73.2,6.46,100.7,Onion,Yes,None,None,None,1.23,387.2,8.4,Potassium
58,41,55,23.2,50.8,5.54,240.5,Beet,Yes,None,Tuber Soft Rot,None,1.0,454.1,2.0,None
87,42,12,39.6,86.8,6.07,319.8,Beet,Yes,Powdery Mildew,None,African Cassava Mosaic Virus,2.62,296.9,5.7,Potassium
66,67,67,19.6,73.9,6.84,161.7,Soybean,No,None,None,None,0.86,466.0,2.4,Potassium
71,51,14,32.3,85.4,5.81,174.0,Garlic,Yes,None,Leaf Spot Wilt,None,1.33,764.8,3.1,Phosphorus
65,45,42,17.1,72.0,6.43,59.4,Chilly,No,None,Canker,None,0.85,272.4,9.0,Phosphorus
115,18,89,22.8,66.6,7.31,338.2,Fennel,Yes,Powdery Mildew,None,None,3.02,177.8,1.7,Phosphorus
91,43,17,32.3,49.0,6.32,55.3,Oat,Yes,None,None,None,2.7,799.4,8.0,Nitrogen
88,61,15,33.2,34.6,6.04,254.4,Soybean,No,Rust,None,None,1.81,382.0,4.8,Nitrogen
53,34,63,20.3,86.1,5.72,86.9,Oat,Yes,None,None,None,2.19,187.0,1.8,Potassium
34,14,79,31.6,58.9,7.31,311.2,Cabbage,Yes,None,None,None,0.85,388.8,3.6,None
28,20,85,35.4,52.6,7.07,305.0,Cumin,Yes,Black Spot,None,None,2.87,462.4,7.0,Nitrogen
76,19,31,22.5,76.0,6.14,61.8,Beet,No,None,None,None,1.09,146.0,3.0,Potassium
72,30,28,34.7,60.9,6.58,61.9,Amaranth,No,None,None,None,0.91,425.5,7.5,Nitrogen
67,23,61,18.5,49.6,5.53,139.9,Brinjal,No,None,None,None,1.23,315.0,2.7,None
41,80,12,35.4,52.4,5.74,136.6,Cumin,Yes,None,Stewart's Wilt,None,2.23,734.1,7.9,Nitrogen
113,26,82,24.3,47.2,5.68,70.8,Brinjal,Yes,None,None,None,3.35,465.1,4.6,Potassium
49,41,88,32.8,68.5,6.9,187.0,Linseed,Yes,None,Aerial Stem Rot,None,2.04,336.9,9.8,Potassium
75,20,30,20.2,74.8,6.09,197.4,Sunflower,No,None,None,None,0.63,763.3,8.6,Nitrogen
109,58,42,22.9,36.5,6.33,385.5,Peas,No,None,None,None,2.12,109.5,8.8,None
46,44,16,27.3,85.0,6.77,287.5,Cotton,Yes,None,Bacterial Crown Gall,None,2.59,554.6,1.1,Phosphorus
29,74,42,34.5,66.9,6.29,336.8,Tomato,Yes,None,None,None,2.91,253.0,7.2,Potassium
40,23,28,15.7,44.4,7.1,388.5,Linseed,Yes,None,None,None,3.17,517.3,1.8,Potassium
61,40,84,20.7,33.6,6.03,225.3,Brinjal,No,Anthracnose,None,None,1.2,347.5,8.4,Phosphorus
35,71,13,28.6,86.1,7.46,81.4,Alfalfa,Yes,None,None,None,1.13,647.9,1.7,Nitrogen
23,11,56,31.6,87.3,7.15,251.8,Cauliflower,No,None,None,None,2.74,268.0,2.9,Phosphorus
87,17,51,19.5,35.9,5.96,286.3,Maize,Yes,Black Spot,None,None,2.38,293.4,7.3,Phosphorus
84,75,79,37.6,75.7,6.04,306.1,Maize,Yes,Rust,None,None,0.51,731.1,2.5,Phosphorus
32,24,27,25.4,78.1,6.25,217.8,Jowar,No,None,None,None,1.65,239.6,4.2,Potassium
32,18,24,24.1,67.9,6.66,167.3,Tomato,No,None,None,Plum Pox Virus,2.36,307.8,8.3,Potassium
42,58,45,34.1,54.2,6.34,212.6,Chilly,No,Downy Mildew,None,None,2.25,782.5,2.9,None
24,72,61,39.3,36.8,7.24,67.7,Guar,No,None,None,None,0.74,228.4,7.2,Phosphorus
72,49,37,16.2,62.6,6.91,340.5,Tomato,No,None,None,None,2.61,504.0,2.9,Potassium
94,60,87,29.1,69.7,6.28,365.5,Tomato,Yes,None,None,None,0.75,705.2,9.3,Phosphorus
29,20,11,19.3,67.6,7.12,357.4,Turmeric,Yes,Sclerotium Rots,Black Rot,None,3.13,548.0,4.4,Phosphorus
97,75,34,15.9,57.9,5.62,256.7,Garlic,Yes,None,None,None,2.21,324.8,9.3,Nitrogen
71,18,66,25.1,48.7,6.2,113.8,Turmeric,No,None,None,None,2.18,124.0,1.1,Potassium
78,75,16,21.2,84.0,6.82,108.3,Maize,Yes,None,Tuber Soft Rot,None,2.51,131.3,9.5,Phosphorus
64,18,46,38.8,37.7,7.13,150.3,Bajra,No,None,None,None,1.76,210.1,5.8,None
101,73,46,15.7,49.4,6.0,257.2,Garlic,Yes,None,None,None,1.41,746.0,9.0,Potassium
81,16,36,21.3,36.6,5.97,140.8,Paddy,No,None,None,None,0.69,718.2,6.8,Potassium
69,73,54,31.2,60.9,7.39,144.1,Coriander,No,Sclerotinia Rots,None,None,2.45,540.8,1.1,Nitrogen
114,20,83,36.9,46.1,6.02,159.8,Ragi,No,Leaf Spot,None,Tomato Yellow Leaf Curl Virus,1.35,607.8,4.0,None
115,47,19,21.5,37.7,7.42,335.5,Cabbage,No,None,Tuber Soft Rot,None,1.77,479.6,2.8,None
91,76,44,27.1,63.3,6.86,234.1,Paddy,No,None,None,None,1.74,159.0,1.4,Phosphorus
105,36,55,22.3,69.2,5.93,342.6,Tomato,Yes,Black Spot,None,None,1.13,633.8,1.5,None
72,79,40,19.7,55.1,7.11,235.8,Bajra,Yes,Mildew,None,Potato Virus Y,1.49,536.1,2.7,Potassium
103,38,38,34.4,51.2,6.52,320.6,Cabbage,No,Blight,None,Brome Mosaic Virus,0.79,520.9,6.7,Potassium
41,33,82,29.0,46.0,5.64,336.8,Sugarcane,Yes,None,None,Brome Mosaic Virus,3.41,480.7,5.1,None
114,19,66,27.9,59.0,7.27,75.3,Soybean,No,None,None,None,2.36,207.7,9.5,Phosphorus
28,35,56,32.0,42.5,6.36,255.1,Turmeric,Yes,None,None,Stunt,1.45,734.0,5.1,Phosphorus
102,28,61,15.5,48.0,5.98,309.9,Wheat,No,None,None,None,2.82,307.2,4.9,None
64,61,80,29.5,35.3,6.33,344.7,Sunflower,Yes,Downy Mildew,None,None,1.73,434.4,8.3,Nitrogen
95,54,23,25.9,43.2,7.06,242.3,Soybean,Yes,Sclerotium Rots,None,None,0.8,172.5,9.1,Nitrogen
34,28,88,32.0,35.9,6.03,276.9,Chilly,No,None,None,None,1.77,301.4,7.4,Potassium
84,11,54,37.2,88.7,7.18,252.8,Bitter Gourd,Yes,None,None,None,2.86,533.9,4.6,Potassium
103,79,58,15.4,84.7,6.96,349.7,Cumin,Yes,None,None,None,1.45,481.8,1.8,Phosphorus
117,32,67,31.4,62.1,6.88,68.9,Linseed,Yes,Sclerotinia Rots,None,None,2.64,326.0,9.3,Phosphorus
108,57,81,18.4,56.2,6.42,207.5,Brinjal,Yes,None,None,Brome Mosaic Virus,0.65,330.2,8.2,Nitrogen
30,11,84,36.3,49.3,7.0,197.2,Jowar,Yes,Downy Mildew,None,None,2.62,323.3,5.8,Potassium
92,14,14,24.2,43.7,5.52,276.4,Brinjal,Yes,None,None,None,0.73,746.2,3.0,Phosphorus
29,63,34,34.0,35.2,7.07,344.7,Soybean,Yes,None,None,None,2.72,620.2,7.7,None
105,68,80,37.4,50.7,6.96,270.2,Soybean,Yes,None,None,None,1.52,278.3,3.5,Nitrogen
72,11,26,16.1,84.7,5.59,361.9,Alfalfa,Yes,None,None,None,2.87,357.0,5.3,None
44,48,22,26.4,85.6,7.16,75.5,Cotton,No,None,None,None,3.37,323.4,1.3,Potassium
56,49,60,28.5,77.4,6.32,86.5,Soybean,Yes,None,Leaf Spot Wilt,None,1.41,198.2,9.4,Phosphorus
104,39,48,21.4,65.6,6.48,351.5,Bajra,Yes,Sclerotium Rots,None,None,3.32,604.4,3.4,None
31,67,52,30.9,75.8,6.08,380.0,Chilly,Yes,None,None,None,3.47,412.3,2.8,Potassium
21,25,37,39.4,55.4,7.48,345.5,Bajra,Yes,None,None,None,2.13,210.2,6.5,Nitrogen
74,27,36,17.0,89.1,6.32,258.2,Tomato,Yes,None,None,None,1.66,470.5,4.1,Potassium
38,20,49,24.4,53.1,6.99,350.9,Cotton,No,None,None,None,2.49,475.5,6.0,Potassium
52,10,16,20.5,64.4,7.46,60.5,Potato,No,None,None,None,0.9,146.2,9.1,Nitrogen
71,30,56,23.6,72.7,5.68,358.7,Cotton,No,None,Wilt,None,3.42,334.8,6.0,Nitrogen
38,59,83,26.6,45.8,7.09,120.4,Cotton,No,None,None,None,3.21,475.1,1.6,None
30,11,78,32.2,38.1,6.86,253.9,Garlic,Yes,None,None,None,0.72,311.5,2.2,Nitrogen
45,76,38,23.4,50.1,7.5,336.9,Soybean,No,None,None,None,3.09,365.3,2.1,None
27,39,33,16.5,79.1,6.52,65.8,Soybean,Yes,None,None,None,1.66,686.6,3.0,Potassium
69,12,90,21.8,83.5,6.89,234.0,Turmeric,Yes,None,Stewart's Wilt,Stunt,2.11,319.5,7.8,Phosphorus
78,35,77,30.3,57.7,5.84,102.7,Maize,Yes,None,None,None,2.74,305.2,3.0,Nitrogen
81,73,70,27.8,36.3,7.39,346.0,Jowar,No,Rhizoctonia Rots,None,None,2.08,173.3,9.2,None
64,48,72,35.8,56.5,6.92,278.3,Oat,No,Fusarium Rots,None,None,2.82,759.3,7.7,Potassium
39,64,42,31.9,88.8,6.23,353.2,Garlic,Yes,Rhizoctonia Rots,None,None,2.75,498.6,3.6,None
30,66,62,17.9,49.3,6.33,391.3,Paddy,No,None,Soft Rot,None,3.45,501.3,1.1,None
76,71,61,24.4,78.4,7.14,233.9,Amaranth,No,Blight,None,None,2.2,273.0,7.9,Nitrogen
41,28,20,21.2,45.4,5.73,393.1,Potato,No,None,None,Tomato Yellow Leaf Curl Virus,2.83,779.8,6.1,Potassium
56,11,11,18.1,86.9,6.36,396.1,Maize,No,None,Canker,None,3.47,167.1,4.9,Phosphorus
61,28,75,33.3,32.1,7.05,84.0,Bitter Gourd,No,None,None,None,1.67,770.7,3.1,Potassium
78,74,77,33.1,81.1,6.13,312.4,Paddy,Yes,None,None,Tomato Yellow Leaf Curl Virus,3.15,271.2,3.8,Potassium
33,64,36,26.9,50.0,6.84,358.1,Onion,No,Botrytis Blight,Citrus Cankers,None,3.28,316.0,3.3,Nitrogen
43,78,30,40.0,44.0,6.5,52.0,Turmeric,Yes,None,None,None,2.84,191.2,7.5,Potassium
94,59,45,40.0,89.9,7.28,51.0,Coriander,Yes,Mildew,None,None,3.33,195.0,6.3,None
40,62,28,17.4,81.0,6.16,200.2,Cotton,Yes,None,None,None,1.49,743.7,9.7,Potassium
81,73,35,34.9,73.8,6.59,347.6,Cabbage,Yes,Blight,Bacterial Crown Gall,None,2.77,254.7,4.0,Phosphorus
23,64,61,17.8,58.0,6.83,90.2,Peas,No,Black Spot,None,None,0.8,403.6,6.3,Phosphorus
79,24,61,30.2,67.7,5.96,252.2,Bajra,No,None,None,None,1.75,707.1,2.6,Phosphorus
69,69,82,34.8,52.5,7.23,380.8,Cauliflower,No,Downy Mildew,Soft Rot,None,2.72,373.0,9.8,Potassium
95,64,37,37.8,49.8,6.9,84.9,Wheat,No,None,None,None,1.13,524.0,9.1,Potassium
94,55,42,36.6,84.9,6.26,158.0,Garlic,Yes,None,None,None,2.77,296.8,2.2,Phosphorus
33,61,34,17.7,43.2,5.79,194.4,Guar,No,None,None,None,3.02,740.5,4.1,Phosphorus
26,25,67,25.0,80.9,7.31,55.0,Wheat,Yes,Mildew,None,None,2.17,509.1,6.0,Nitrogen
87,69,30,37.4,88.1,7.25,236.2,Guar,No,None,None,None,3.02,558.0,8.1,Phosphorus
79,45,13,19.1,41.3,5.96,177.4,Okra,Yes,Sclerotinia Rots,None,None,0.78,133.6,8.8,Nitrogen
108,37,87,20.6,80.7,6.53,305.1,Garlic,No,Black Spot,None,None,2.88,601.0,6.2,Nitrogen
50,48,20,27.1,42.5,7.3,56.3,Barley,No,None,None,None,3.0,189.1,1.7,None
53,58,79,15.8,49.9,5.53,158.5,Cauliflower,Yes,None,None,None,1.43,279.8,5.8,Nitrogen
48,13,90,24.8,62.4,6.48,149.2,Peas,Yes,None,None,None,2.34,258.3,2.4,None
43,26,29,19.8,52.1,6.6,355.7,Paddy,Yes,None,None,None,1.73,465.4,8.5,None
74,62,44,33.4,80.2,6.32,249.7,Oat,No,Rhizoctonia Rots,None,None,0.62,598.0,9.4,Phosphorus
114,25,61,32.2,34.7,6.98,252.2,Fennel,Yes,None,None,None,0.98,668.3,7.9,Phosphorus
60,19,14,19.5,47.1,6.68,123.5,Oat,Yes,None,None,None,2.27,111.0,6.1,Phosphorus
82,14,49,16.7,89.8,6.8,328.4,Bajra,No,None,None,None,1.07,455.7,9.1,Potassium
64,73,85,15.8,33.6,7.18,114.9,Paddy,No,Anthracnose,None,None,3.21,170.9,2.0,Nitrogen
47,55,22,35.2,77.5,7.03,369.9,Potato,Yes,Black Spot,None,None,2.79,574.3,10.0,Nitrogen
90,44,52,19.8,61.4,6.07,381.1,Linseed,Yes,None,Black Rot,None,3.24,778.4,8.9,Potassium
61,23,77,35.2,55.1,6.58,52.6,Wheat,Yes,Rust,Aerial Stem Rot,None,2.4,790.9,2.8,None
26,60,10,34.8,42.6,5.69,66.4,Maize,Yes,None,None,None,3.04,746.7,7.5,Nitrogen
102,43,85,21.7,41.6,6.54,107.5,Soybean,No,None,None,None,2.81,473.4,4.7,Nitrogen
61,78,80,22.5,72.4,6.95,266.4,Sunflower,No,None,None,None,1.53,257.1,2.1,Nitrogen
118,26,48,31.1,45.3,5.7,371.3,Bajra,Yes,None,Canker,None,3.35,582.0,8.9,Potassium
21,20,55,39.1,61.5,6.88,207.3,Oat,No,Black Spot,None,African Cassava Mosaic Virus,3.34,514.7,9.1,Potassium
25,44,90,25.8,44.4,7.37,275.1,Oat,No,None,None,None,2.74,798.2,3.1,Potassium
26,45,16,28.3,69.6,6.06,179.7,Peas,No,None,None,None,1.84,178.5,6.3,Phosphorus
50,31,23,36.2,44.6,5.56,224.4,Onion,No,None,Bacterial Blight,None,1.78,258.8,9.5,Nitrogen
65,39,33,16.5,73.9,5.85,116.3,Sugarcane,Yes,Rhizoctonia Rots,Black Rot,Leaf Curl,2.16,484.5,9.4,None
36,44,14,35.1,32.0,7.05,131.5,Mustard,No,None,None,None,2.96,533.6,7.6,Potassium
59,37,10,26.7,58.9,6.36,382.7,Soybean,No,None,None,Tomato Spotted Wilt Virus,2.82,600.6,5.6,None
119,40,84,38.1,31.6,6.37,350.9,Alfalfa,Yes,Blight,None,None,0.75,597.9,3.9,Nitrogen
37,40,21,23.9,47.0,7.43,148.6,Turmeric,Yes,Downy Mildew,None,None,2.79,671.8,3.4,Potassium
58,74,71,23.3,81.3,5.78,246.1,Maize,Yes,None,None,None,1.42,301.1,5.1,Nitrogen
116,11,25,18.7,56.1,7.21,321.5,Jowar,No,Downy Mildew,None,None,3.36,234.3,7.0,Potassium
30,16,21,33.7,67.2,6.93,311.6,Soybean,No,Botrytis Blight,None,None,1.28,736.3,2.0,Phosphorus
108,43,74,35.1,53.6,5.66,61.7,Chilly,Yes,None,None,None,1.99,260.4,2.5,None
70,69,33,27.1,69.4,5.74,351.9,Wheat,No,None,None,Yellowing,1.87,278.6,1.9,Nitrogen
71,78,42,24.4,70.6,5.97,302.7,Cotton,Yes,None,None,None,1.6,575.1,6.4,Potassium
100,52,11,39.1,71.5,5.67,50.9,Alfalfa,Yes,Rust,None,None,1.47,630.7,3.7,Potassium
113,61,52,19.2,48.3,6.61,218.5,Coriander,No,None,None,Mosaic Virus,2.17,515.2,2.7,Potassium
42,25,73,36.4,74.7,5.55,71.1,Okra,Yes,Sclerotium Rots,None,None,2.39,665.1,9.3,Nitrogen
106,34,62,19.1,36.4,7.4,120.4,Turmeric,No,Rust,None,None,3.46,245.0,4.3,Phosphorus
95,56,61,38.2,88.7,5.53,259.8,Onion,No,Rust,None,None,1.41,279.2,3.3,Nitrogen
101,17,41,20.1,73.5,6.84,110.7,Onion,Yes,None,None,None,1.24,450.7,6.9,Potassium
21,50,83,27.3,51.6,6.8,355.5,Beet,No,None,None,None,3.07,675.5,4.0,Potassium
94,43,25,36.4,71.1,5.53,205.9,Ragi,No,None,None,None,1.47,487.1,8.1,Potassium
100,29,60,26.2,87.5,7.41,143.2,Potato,No,None,Bacterial Blight,Potato Virus,3.17,411.4,8.9,Phosphorus
76,79,50,19.5,59.7,7.09,297.7,Fennel,No,None,Canker,None,3.44,473.0,2.3,Nitrogen
87,55,25,22.8,64.4,6.81,210.9,Turmeric,Yes,Powdery Mildew,None,None,2.2,211.8,7.5,None
97,54,15,16.1,59.8,6.52,280.5,Maize,Yes,None,None,None,2.27,720.3,7.9,Phosphorus
85,65,14,30.8,74.0,5.82,224.7,Cabbage,No,None,None,None,0.53,410.6,6.8,Potassium
64,40,22,17.6,44.2,7.36,125.8,Sunflower,Yes,None,None,None,1.88,478.2,7.4,None
118,59,25,34.7,84.5,5.94,355.2,Ragi,Yes,Sclerotium Rots,None,None,0.81,134.4,7.0,Potassium
87,20,15,30.3,54.5,7.2,231.2,Beet,Yes,None,None,None,0.92,421.7,2.6,None
105,29,55,21.3,44.9,6.07,371.1,Okra,No,None,Fire Blight,None,2.89,315.0,9.6,None
50,80,63,34.0,33.3,7.21,294.6,Sugarcane,Yes,None,None,None,1.47,402.9,2.3,Phosphorus
49,15,23,35.0,58.8,6.75,94.7,Mustard,No,None,None,None,3.45,382.1,8.2,None
109,30,23,25.0,88.3,5.76,320.0,Onion,Yes,None,None,None,1.69,155.8,7.6,Phosphorus
55,52,43,22.1,40.7,5.61,131.1,Paddy,Yes,None,None,None,1.89,727.0,2.3,Nitrogen
48,29,85,37.4,71.8,5.7,394.7,Cumin,No,Sclerotinia Rots,None,Tobacco Mosaic Virus,0.94,367.0,2.0,Nitrogen
39,65,53,15.6,68.1,6.47,327.2,Turmeric,No,None,None,None,1.02,384.5,8.9,Phosphorus
72,53,89,36.7,77.1,7.37,150.0,Okra,No,None,None,None,1.09,144.1,3.4,Phosphorus
50,49,66,29.3,41.5,6.6,151.0,Ragi,No,None,None,None,2.23,533.9,3.5,Phosphorus
81,36,45,34.4,36.0,7.48,159.0,Chilly,No,Blight,None,None,2.58,692.0,9.5,Nitrogen
105,55,80,30.9,88.0,5.9,167.5,Bitter Gourd,No,None,None,None,2.63,129.7,9.3,Potassium
37,54,38,32.4,42.3,6.11,336.2,Barley,No,None,None,None,3.37,684.4,5.8,Phosphorus
114,31,71,30.4,33.7,7.12,342.1,Garlic,No,None,None,None,3.38,507.7,5.4,Phosphorus
28,31,83,29.7,80.7,5.68,166.2,Turmeric,No,None,None,None,3.02,664.9,1.1,Potassium
120,56,31,31.8,71.4,7.12,60.7,Cumin,No,Sclerotinia Rots,None,None,1.31,277.3,2.3,Nitrogen
91,15,57,23.1,50.9,6.89,230.5,Castor,No,None,None,None,1.28,140.6,9.7,Nitrogen
42,67,60,17.6,37.0,7.27,307.4,Alfalfa,Yes,None,Canker,Cauliflower Mosaic Virus,0.73,459.3,4.5,None
81,50,38,28.0,37.6,6.82,293.3,Cotton,No,None,None,None,3.16,508.6,1.3,None
83,54,60,17.3,38.5,5.98,96.0,Oat,No,None,None,None,3.04,704.4,6.4,Potassium
105,26,48,37.0,58.4,6.61,170.5,Ragi,Yes,None,None,None,1.39,239.3,8.2,Phosphorus
100,44,66,27.1,77.5,6.98,75.0,Jowar,No,None,Fire Blight,None,3.32,650.0,3.4,Potassium
119,25,47,35.3,30.7,6.17,301.1,Amaranth,No,None,Bacterial Blight,None,0.99,636.5,6.6,Phosphorus
109,75,45,37.4,60.6,7.39,161.6,Sugarcane,Yes,None,None,None,0.77,290.1,1.8,None
28,29,85,19.2,85.2,6.29,83.9,Garlic,No,Sclerotium Rots,None,Potato Virus,3.21,511.0,8.8,Nitrogen
79,77,78,34.1,59.4,7.38,226.3,Garlic,Yes,None,Soft Rot,None,2.88,155.2,5.5,Nitrogen
103,53,90,17.3,44.3,6.13,129.4,Coriander,No,None,Black Rot,None,2.09,744.3,7.7,None
47,18,53,18.8,37.3,6.81,315.6,Coriander,No,Botrytis Blight,Fire Blight,None,2.04,535.6,9.2,Nitrogen
66,38,83,30.0,57.2,6.45,252.7,Linseed,No,None,Wilt,None,2.93,126.2,6.2,Phosphorus
112,57,74,36.1,67.7,6.74,119.7,Ragi,No,Powdery Mildew,None,None,2.69,459.6,1.2,Phosphorus
55,17,11,36.5,72.1,7.28,202.5,Sunflower,Yes,None,Citrus Cankers,None,1.02,473.4,5.7,None
20,61,35,33.6,80.3,5.86,385.3,Sunflower,Yes,None,Scab,None,1.25,101.0,8.2,Potassium
41,42,16,17.1,84.6,6.91,361.5,Paddy,Yes,None,None,None,2.23,232.4,5.9,None
89,40,20,34.4,86.9,7.46,103.8,Beet,No,None,None,Cucumber Mosaic Virus,0.96,428.1,5.5,Nitrogen
24,26,71,29.5,68.9,6.79,100.8,Cumin,Yes,None,None,None,3.31,411.5,4.5,Phosphorus
56,36,34,20.2,65.3,6.04,234.4,Peas,Yes,None,None,None,2.65,360.2,9.9,None
50,23,65,17.4,60.7,6.53,55.3,Maize,Yes,None,None,None,2.17,254.6,4.2,Potassium
25,67,53,35.7,87.8,6.56,229.3,Garlic,Yes,Leaf Spot,None,None,1.7,426.7,6.6,Nitrogen
32,80,55,37.5,85.8,5.67,174.4,Beet,Yes,Black Spot,None,Tomato Yellow Leaf Curl Virus,1.88,383.0,9.3,Nitrogen
67,59,36,20.1,76.3,6.31,253.1,Amaranth,No,None,None,None,1.26,115.2,7.5,Phosphorus
36,50,41,37.1,60.2,7.41,176.4,Wheat,No,None,Bacterial Blight,None,2.53,534.1,4.0,Phosphorus
57,74,70,34.7,39.0,6.91,203.7,Potato,No,Botrytis Blight,Fire Blight,Stunt,2.53,448.8,1.9,Potassium
93,58,90,19.3,41.8,6.83,243.9,Paddy,No,None,None,None,0.92,169.6,7.4,Nitrogen
94,71,67,36.9,87.3,6.41,378.2,Sugarcane,No,None,None,None,0.76,674.6,6.2,Phosphorus
36,23,83,24.8,88.6,6.77,267.5,Castor,Yes,None,None,None,1.98,234.8,4.8,Potassium
85,28,81,27.0,33.1,5.62,384.0,Fennel,Yes,Botrytis Blight,None,None,1.48,285.4,9.6,None
57,17,25,15.5,39.9,5.68,142.6,Okra,No,None,None,None,1.54,329.7,7.1,Phosphorus
105,52,12,36.7,69.7,7.4,186.0,Brinjal,Yes,None,Stewart's Wilt,None,1.27,462.7,3.8,Phosphorus
68,78,16,33.1,34.9,6.36,243.0,Brinjal,Yes,None,None,None,2.27,411.1,5.1,None
49,34,59,20.0,72.3,5.7,231.5,Cumin,Yes,None,None,None,2.35,419.7,4.1,None
43,80,82,37.7,61.7,6.5,394.0,Garlic,Yes,Black Spot,None,Stunt,2.41,576.4,2.7,Phosphorus
33,46,50,35.1,50.5,6.33,353.4,Tomato,No,None,None,None,2.97,257.7,1.4,Nitrogen
27,42,31,25.2,86.4,7.28,108.8,Amaranth,No,Rhizoctonia Rots,None,Potato Virus X,2.38,479.4,5.0,Nitrogen
99,65,59,20.7,65.7,6.66,157.9,Potato,No,None,None,None,2.84,743.5,9.2,None
106,15,57,26.3,68.5,7.38,53.7,Cotton,No,None,None,None,1.18,251.9,4.6,None
110,56,50,34.6,79.5,6.27,308.2,Garlic,Yes,None,Stewart's Wilt,Plum Pox Virus,2.33,544.6,4.1,None
49,55,54,21.4,72.2,7.13,256.4,Bajra,No,None,None,None,0.86,207.8,4.0,Potassium
105,36,80,19.8,64.5,6.73,350.1,Fennel,Yes,None,None,None,1.72,738.3,2.0,Phosphorus
26,44,29,19.4,69.2,6.96,290.0,Turmeric,Yes,None,None,None,0.83,376.9,9.7,Phosphorus
102,11,57,30.2,41.7,5.82,368.9,Peas,Yes,Anthracnose,None,None,2.23,465.0,7.5,Potassium
55,64,76,19.9,49.5,6.87,167.4,Wheat,Yes,None,None,None,1.76,289.0,7.1,None
